Title,Rated
The Change-Up,R
The Thin Red Line,R
Man on the Moon,R
From Paris with Love,R
"Me, Myself & Irene",R
Ted,R
22 Jump Street,R
Jerry Maguire,R
Erin Brockovich,R
Interview with the Vampire: The Vampire Chronicles,R
American Beauty,R
Inside Man,R
Payback,R
Once Upon a Time in America,R
Outbreak,R
American Reunion,R
Hansel & Gretel: Witch Hunters,R
Aliens,R
Don't Say a Word,R
13 Hours,R
Unfaithful,R
Syriana,R
Resident Evil: Apocalypse,R
Absolute Power,R
The Game,R
G.I. Jane,R
The Judge,R
Silent Hill,R
The Negotiator,R
Beverly Hills Cop III,R
The Peacemaker,R
Bridget Jones: The Edge of Reason,R
The Beach,R
On Deadly Ground,R
Ninja Assassin,R
Striptease,R
Murder by Numbers,R
Assassins,R
Hannibal Rising,R
The Story of Us,R
Basic,R
Run All Night,R
Blood Work,R
The International,R
Escape from L.A.,R
The Life Aquatic with Steve Zissou,R
Your Highness,R
Free State of Jones,R
Gamer,R
The Life of David Gale,R
Braveheart,R
Eastern Promises,R
The Messenger: The Story of Joan of Arc,R
Drive Angry,R
The Scarlet Letter,R
Domino,R
Jade,R
Reservoir Dogs,R
Death to Smoochy,R
Pirate Radio,R
What Planet Are You From?,R
Child 44,R
Chappie,R
The Adventures of Ford Fairlane,R
Anna Karenina,R
Traffic,R
Panic Room,R
The Thomas Crown Affair,R
The Bone Collector,R
Three Kings,R
3:10 to Yuma,R
Requiem for a Dream,R
Out of Sight,R
The Cotton Club,R
First Blood,R
The Infiltrator,R
Mary Reilly,R
Insomnia,R
Courage Under Fire,R
A Clockwork Orange,R
Patriot Games,R
Training Day,R
Scary Movie 2,R
Blade,R
Amadeus,R
Changing Lanes,R
Underworld: Evolution,R
Love Actually,R
From Hell,R
The Specialist,R
Tin Cup,R
Resident Evil: Extinction,R
Savages,R
Eternal Sunshine of the Spotless Mind,R
Revolutionary Road,R
The Glimmer Man,R
The Pledge,R
Bangkok Dangerous,R
Nixon,R
Deep Rising,R
Miracle at St. Anna,R
Taxi Driver,R
Curse of the Golden Flower,R
Love in the Time of Cholera,R
Shadow Conspiracy,R
Argo,R
Rambo: First Blood Part II,R
Sleepers,R
The Juror,R
The Interview,R
Heaven's Gate,R
The Heat,R
Unleashed,R
The Sweetest Thing,R
The Mechanic,R
The Firm,R
21 Jump Street,R
Boomerang,R
Brüno,R
15 Minutes,R
Lord of War,R
The Warrior's Way,R
Full Metal Jacket,R
Micmacs,R
8 Mile,R
Fifty Shades of Grey,R
American Hustle,R
Baby Driver,R
Lucy,R
Lone Survivor,R
Double Jeopardy,R
A Time to Kill,R
The Conjuring 2,R
Get Hard,R
Scream 3,R
Inglourious Basterds,R
